,vsini70,vsini80,vsini90,vsini100,vsini110,vsini120,vsini130,vsini140,vsini150,vsini160,vsini170,vsini180,vsini190,vsini200,vsini210,vsini220,vsini230,vsini240,vsini250,vsini260,vsini270,vsini280,vsini290,vsini300,vsini310,vsini320,vsini330
T15000logg2.0,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922
T15000logg2.2,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922
T15000logg2.4,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922
T15000logg2.6,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922
T15000logg2.8,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922
T15000logg3.0,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922
T16000logg2.0,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922
T16000logg2.2,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922
T16000logg2.4,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922
T16000logg2.6,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922
T16000logg2.8,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922
T16000logg3.0,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922
T16000logg3.2,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922
T17000logg2.2,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922
T17000logg2.4,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922
T17000logg2.6,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922
T17000logg2.8,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922
T17000logg3.0,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922
T17000logg3.2,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922
T18000logg2.2,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922
T18000logg2.4,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922
T18000logg2.6,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922
T18000logg2.8,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922
T18000logg3.0,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922
T18000logg3.2,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922
T18000logg3.4,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922
T19000logg2.4,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922
T19000logg2.6,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922
T19000logg2.8,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922
T19000logg3.0,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922
T19000logg3.2,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922
T19000logg3.4,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922
T19000logg3.6,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922
T20000logg2.4,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922
T20000logg2.6,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922
